[BrainBitSignalData(PackNum=32, Marker=0, O1=0.06506544596237751, O2=0.13015950218153208, T3=0.08202598764990583, T4=0.09702615454307036), BrainBitSignalData(PackNum=32, Marker=0, O1=0.05256543404143719, O2=0.14265913263238206, T3=0.0695259757289655, T4=0.10952578499392032)]
[BrainBitSignalData(PackNum=33, Marker=0, O1=-0.054160741959325756, O2=0.4, T3=-0.04603314021410009, T4=0.4), BrainBitSignalData(PackNum=33, Marker=0, O1=-0.04166111150847579, O2=0.4, T3=-0.033533509763250126, T4=0.4)]
[BrainBitSignalData(PackNum=34, Marker=0, O1=0.057999094008535396, O2=0.17227952220871182, T3=0.07121169205826956, T4=0.13111699210833752), BrainBitSignalData(PackNum=34, Marker=0, O1=0.04549908208759507, O2=0.15977951028777151, T3=0.07108046634718547, T4=0.11861698018739719)]
[BrainBitSignalData(PackNum=35, Marker=0, O1=-0.04644894261259328, O2=0.4, T3=-0.03406451612903226, T4=0.39737663018858926), BrainBitSignalData(PackNum=35, Marker=0, O1=-0.04091381160145913, O2=0.4, T3=-0.04129451875163913, T4=0.4)]
[BrainBitSignalData(PackNum=36, Marker=0, O1=0.04791073599885559, O2=0.22282392771141787, T3=0.05767293708127697, T4=0.17352082588274564), BrainBitSignalData(PackNum=36, Marker=0, O1=0.0523952983811363, O2=0.21032391579047754, T3=0.07017256753212693, T4=0.16102081396180531)]
[BrainBitSignalData(PackNum=37, Marker=0, O1=-0.035657535226378656, O2=0.39404525188946904, T3=-0.018519991416922968, T4=0.3546489283074649), BrainBitSignalData(PackNum=37, Marker=0, O1=-0.04815754714731898, O2=0.4, T3=-0.03102000333786329, T4=0.36714855875831487)]
[BrainBitSignalData(PackNum=38, Marker=0, O1=0.03428576878144148, O2=0.27569758958586654, T3=0.040829506711489404, T4=0.22021238347280833), BrainBitSignalData(PackNum=38, Marker=0, O1=0.04678539923229144, O2=0.26319757766492624, T3=0.05332913716233937, T4=0.20771237155186803)]
[BrainBitSignalData(PackNum=39, Marker=0, O1=-0.02209093293278974, O2=0.34654154447702834, T3=-0.0004619602794268412, T4=0.3053519300002384), BrainBitSignalData(PackNum=39, Marker=0, O1=-0.034590944853730064, O2=0.35904117492787835, T3=-0.012961972200367166, T4=0.31785156045108837)]
[BrainBitSignalData(PackNum=40, Marker=0, O1=0.018847674224542834, O2=0.3272067329470949, T3=0.0226459719142646, T4=0.26839777793672365), BrainBitSignalData(PackNum=40, Marker=0, O1=0.0313473046753928, O2=0.31470672102615455, T3=0.03514560236511456, T4=0.25589776601578335)]
[BrainBitSignalData(PackNum=41, Marker=0, O1=-0.006425100731945736, O2=0.2924296306892688, T3=0.01900331402141001, T4=0.2524366878859404), BrainBitSignalData(PackNum=41, Marker=0, O1=-0.01892511265288606, O2=0.30492926114011876, T3=0.006503302100469685, T4=0.26493631833679043)]
[BrainBitSignalData(PackNum=42, Marker=0, O1=0.0022197744558090744, O2=0.37394902605917557, T3=0.003935626922251628, T4=0.3151568557327802), BrainBitSignalData(PackNum=42, Marker=0, O1=0.014719404906659038, O2=0.3614490141382352, T3=0.01643525737310159, T4=0.3026568438118399)]
[BrainBitSignalData(PackNum=43, Marker=0, O1=0.009602746584650598, O2=0.23542884390720742, T3=0.036843144267219796, T4=0.19995250697375008), BrainBitSignalData(PackNum=43, Marker=0, O1=-0.0028972653362897265, O2=0.24792847435805737, T3=0.024343132346279474, T4=0.21245213742460006)]
[BrainBitSignalData(PackNum=44, Marker=0, O1=-0.013851560451088383, O2=0.4, T3=-0.013381970769854326, T4=0.3578181818181818), BrainBitSignalData(PackNum=44, Marker=0, O1=-0.0013519300002384188, O2=0.38749998807905967, T3=-0.0008823403190043631, T4=0.3453181698972415)]
[BrainBitSignalData(PackNum=45, Marker=0, O1=0.02356989247311828, O2=0.18108842953532175, T3=0.053229191998664854, T4=0.15148787640369074), BrainBitSignalData(PackNum=45, Marker=0, O1=0.011069880552177957, O2=0.1935880599861717, T3=0.04072918007772453, T4=0.1639875068545407), BrainBitSignalData(PackNum=46, Marker=0, O1=-0.028245571370669718, O2=0.4, T3=-0.028427151133681425, T4=0.3941448155830532), BrainBitSignalData(PackNum=46, Marker=0, O1=-0.015745940919819755, O2=0.38749998807905967, T3=-0.015927520682831462, T4=0.3816448036621129)]
[BrainBitSignalData(PackNum=47, Marker=0, O1=0.03778690127077224, O2=0.13521359940872135, T3=0.06745344872803567, T4=0.1114094843001216), BrainBitSignalData(PackNum=47, Marker=0, O1=0.025286889349831917, O2=0.14771322985957133, T3=0.05495343680709534, T4=0.12390911475097156)]
[BrainBitSignalData(PackNum=48, Marker=0, O1=-0.039971580478268126, O2=0.4, T3=-0.04041942636435162, T4=0.4), BrainBitSignalData(PackNum=48, Marker=0, O1=-0.027471950027418163, O2=0.38749998807905967, T3=-0.027919795913501657, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=49, Marker=0, O1=0.04978299120234604, O2=0.10118074529718904, T3=0.07792289535798584, T4=0.0815377059342441), BrainBitSignalData(PackNum=49, Marker=0, O1=0.03728297928140572, O2=0.113680375748039, T3=0.06542288343704551, T4=0.09403733638509405)]
[BrainBitSignalData(PackNum=50, Marker=0, O1=-0.048368500107288465, O2=0.4, T3=-0.048585938058794076, T4=0.4), BrainBitSignalData(PackNum=50, Marker=0, O1=-0.0358688696564385, O2=0.38749998807905967, T3=-0.03608630760794412, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=51, Marker=0, O1=0.058503397467992276, O2=0.08058326776816155, T3=0.08435333667119663, T4=0.06262022268316525), BrainBitSignalData(PackNum=51, Marker=0, O1=0.04600338554705195, O2=0.09308289821901151, T3=0.0718533247502563, T4=0.07511985313401522), BrainBitSignalData(PackNum=52, Marker=0, O1=-0.053583959182700334, O2=0.4, T3=-0.05296635910640631, T4=0.4), BrainBitSignalData(PackNum=52, Marker=0, O1=-0.04108432873185037, O2=0.38749998807905967, T3=-0.04046672865555635, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=53, Marker=0, O1=0.0631947166392485, O2=0.07855499129771357, T3=0.08606003385547052, T4=0.0590073194573588), BrainBitSignalData(PackNum=53, Marker=0, O1=0.050694704718308184, O2=0.09105462174856353, T3=0.07356002193453019, T4=0.07150694990820876)]
[BrainBitSignalData(PackNum=54, Marker=0, O1=-0.055416541496793266, O2=0.4, T3=-0.05326657606752021, T4=0.4), BrainBitSignalData(PackNum=54, Marker=0, O1=-0.04291691104594331, O2=0.38749998807905967, T3=-0.04076694561667024, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=55, Marker=0, O1=0.0644962925875593, O2=0.09315079989509573, T3=0.08401420976086595, T4=0.06868826741053334), BrainBitSignalData(PackNum=55, Marker=0, O1=0.05199628066661898, O2=0.10565043034594569, T3=0.07151419783992562, T4=0.0811878978613833)]
[BrainBitSignalData(PackNum=56, Marker=0, O1=-0.05408177765062108, O2=0.4, T3=-0.049665116944424575, T4=0.4), BrainBitSignalData(PackNum=56, Marker=0, O1=-0.041582147199771116, O2=0.4, T3=-0.037165486493574616, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=57, Marker=0, O1=0.061581098157022625, O2=0.12247478721121523, T3=0.0775978828409985, T4=0.09062012731564266), BrainBitSignalData(PackNum=57, Marker=0, O1=0.0490810862360823, O2=0.1349744176620652, T3=0.06509787092005817, T4=0.10311975776649263)]
[BrainBitSignalData(PackNum=58, Marker=0, O1=-0.049979066828791455, O2=0.4, T3=-0.04233822091886608, T4=0.4), BrainBitSignalData(PackNum=58, Marker=0, O1=-0.037479436377941495, O2=0.4, T3=-0.029838590468016117, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=59, Marker=0, O1=0.0552666237512815, O2=0.16371094103902917, T3=0.06764494671339676, T4=0.12291691104594331), BrainBitSignalData(PackNum=59, Marker=0, O1=0.04276661183034118, O2=0.15121092911808884, T3=0.06690794649881983, T4=0.11041689912500298)]
[BrainBitSignalData(PackNum=60, Marker=0, O1=-0.04300655651717808, O2=0.4, T3=-0.031267577426507404, T4=0.378671244307751), BrainBitSignalData(PackNum=60, Marker=0, O1=-0.03848155830531912, O2=0.4, T3=-0.03905185609040841, T4=0.39117087475860096)]
